Cocktail,strGlass,strIBA,Ingredients,Preparation,Notes
Green and Gold,Martini,,"750 ml bottle Karlsson's Gold Vodka, 5 sprigs Dill, 2 cloves Crushed Garlic, 1  Lemon Peel (white pith removed and julienned), 1 Tbsp Whole Peppercorns","Step one: Infuse the vodka
- Transfer ingredients including 750 ml of Karlsson's vodka to a canning jar or glass container. Close the container.
- Shake and rotate every few hours. Let infuse for 24 hours total.
- After 24 hours, strain the vodka through a cheesecloth or nutmilk bag.
- Transfer the vodka to a glass bottle. Store in the refrigerator or freezer until use.

Step two: Make the martini
- Stir 2-3 oz, depending on preference, of the infused vodka with ice.
- Strain into a chilled martini glass.
- Add pickled onions and peppers.",
Grey Anchor,N/A,,"2 oz Hophead Vodka, .75 oz Lime Juice, .5 oz St. Germaine Elderflower Liqueur, .25 oz Luxardo Maraschino Liqueur, 5 drops Bittercube Door County Hop Bitters","Shake, strain, up, garnish.",
Grown-Up Shirley Temple,Highball Glass,,"1 oz Luxardo Cherry Syrup (from jar of cherries), .25 oz Fresh Lemon Juice (optional), 6 oz Soda Water","Fill a highball glass with ice, and build the syrup, lemon juice, and soda water. Stir, and garnish with a Luxardo Maraschino Cherry.",
Hanky Panky (Classic),N/A,,"1.5 oz No.3 London Dry Gin, 1.5 oz Tempus Fugit Alessio Vermouth di Torino Rosso, 2 dash Luxardo Fernet",Shake ingredients with ice then strain into a chilled cocktail glass.,
Hanny's Hot Apple Toddy,Glass Mug,,"1.5 oz Luxardo Amaretto di Saschira, 8 oz Apple Cider,  oz Heavy Cream,  oz Cinnamon","Fill a 10-oz mug with boiling water. When the mug is hot, pour out the water and add the amaretto and cider. Top with a layer of cream. Grate fresh cinnamon on top as a garnish.",
Happiness,Coupe,,"1.5 oz Jasmine Tea/Rice-Infused Junipero Gin*, .75 oz Leopold Bros. Sour Apple Liqueur, .75 oz Lime, .5 oz House-made Honey Syrup**, .25 oz Lo-Fi Gentian Amaro","Add all ingredients in a cocktail shaker, shake, fine strain into a chilled coupe or martini glass. Garnish with edible flower.

*Jasmine Tea/Rice-Infused Junipero Gin:
-- 1 bottle (750ml) Junípero gin
-- .5 cup Jasmine Tea
-- .5 cup Jasmine Rice (wash rice to eliminate starch)

Sous Vide Version: Wash the jasmine rice to clean out the starch. Fill container with hot water. Set sous vide at 52c. Add vacuum seal bag with jasmine tea/rice in bath. Let sit in bath for 45 minutes. Take the bag out of bath and sit it in ice bath for 15 minutes. Open bag and fine strain back into bottle.

Infusion Version: Wash the jasmine rice to clean out the starch. In a cambro/mason jar, add Junípero gin and jasmine tea and rice. Let infuse for 24 hours. Fine strain into bottle.

**House-made Honey Syrup: 

Put equal parts of honey (10 oz) and water (10 oz) in a saucepan. Boil, then turn down to a simmer and stir until the honey is completely dissolved.",Junipero Gin 20th Anniversary Signature Cocktail
Harms' Way,Coupe,,"1 oz Luxardo Bitter Bianco, 1.25 oz Blanco Tequila, .25 oz D.O.M Benedictine, 1 dash Bittermens Xocolatl Mole Bitters","Pour all liquid ingredients into a mixing glass and stir about 55 times for proper dilution and optimal clarity. Strain into a chilled coupe. Twist fresh lemon peel over cocktail for aroma. Garnish with a simple lemon peel, trimmed neatly.",
Heard It Through The Grapevine,Nick & Nora,,"1.5 oz H by HINE, .75 oz Graham's 20 Year Tawny Port, .5 oz Tempus Fugit Kina L'Aero d'Or, .33 oz Velvet Falernum, .25 oz Benedictine",Combine all ingredients and stir. Pour the mixture into a chilled Nick & Nora glass and garnish with the orange zest.,
Heart Breaker,Cocktail Glass,,"1.5 oz Bonded Rye, .5 oz Luxardo Amaro Abano, .5 oz Punt e Mes, 7 dash Angostura Bitters",Pour all ingredients into a mixing glass with ice. Stir to chill and dilute. Strain into a chilled cocktail glass. Express the oil from the twist over the drink and discard.,
Hemingway Daiquiri,Coupe,,"1.5 oz Pink Pigeon Rum, .75 oz Fresh Lime Juice, .5 oz Fresh Grapefruit Juice, .5 oz Luxardo Maraschino Liqueur",Shake with ice in a mixing tin and double strain into a chilled cocktail coupe. Garnish with a grapefruit twist.,
Hibiscus Pisco Sour,Coupe,,"2 oz BarSol Primero Quebranta Pisco, .75 oz Lime juice, .75 oz Hibiscus/rose syrup, 1  Egg white","Dry shake, add ice and shake again. Strain into a coupe glass.",
Hidarite,N/A,,"1.5 oz Nikka Coffey Grain Whiskey, .75 oz Luxardo Bitter, .75 oz Tempus Fugit Alessio Vermouth di Torino Rosso, 2 dash Chocolate Bitters",Chilled. Serve up or on the rocks.,Japanese riff on a Left Hand cocktail
Hippi Hill,Coupe,,"1.5 oz Hophead Vodka, .75 oz King's Ginger Liqueur, .5 oz Lime Juice, .5 oz Cranberry Juice","Shake, fine strain into chilled coupe. Garnish with lime wheel.",Featured on Speed Rack 2015 SF Speed City Takeover Baseball Card.
Holland House,Cocktail Glass,,"1 oz Genever, 1 oz Luxardo Maraschino Liqueur, .5 oz Dry Vermouth, .5 oz Lemon Juice, .5 oz Pineapple Gomme Syrup",Shake. Serve up. Garnish with lemon peel/pineapple.,
Honey Basil Smash,Collins,,"1.5 oz English Harbour Rum 5 YO, .25 oz Honey, 3  Lime Wedges, 4  Basil Leaves,  top Ginger Ale","In collins glass, gently muddle honey, lime and basil leaves. Add English Harbour rum and ice and stir. Top with ginger ale.",
Hophead Dirty Martini,Martini,,"4 oz Hophead Vodka, .5 oz Olive Juice, 1 dash Dry Vermouth",Combine all ingredients into a mixing glass and add ice. Shake and strain into a martini glass. Garnish with an olive.,
Hophead Old Fashioned,Bucket,,"2 oz Hophead Vodka, .25 oz Simple syrup, 2 dash Angostura bitters, 1 dash Fee Brothers Gin Barrel Aged Bitters","Combine all ingredients into a mixing glass and stir until proper dilution. Strain into a chilled bucket glass over a large ice cube and garnish with a dukes lemon and dukes grapefruit zest.
",
Hopped-Up Mary,N/A,,"2 oz Hophead Vodka, 6 oz Tomato Juice, 1.5 tsp Demitri's Bloody Mary Seasoning, .5 oz Fresh Lemon Juice","Combine all ingredients in a chilled mixing glass, rimmed with sea salt and stir. Add ice. Stir again to mix. Garnish with a cocktail shrimp, lemon zest, fresh ground pepper and a celery stalk.",
Hopped-Up Mule,Collins,,"2 oz Hophead Vodka, .5 oz King's Ginger Liqueur, .75 oz Lime Juice,  top Ginger Beer","Combine Hophead Vodka, Kings Ginger, and lime juice in a Collins glass and fill with ice. Top with ginger beer. Stir. Garnish with a lime wheel.",
Hotaling Old Tom Gin,Stemless Wine Glass,,"1.5 oz Old Tom Gin, .5 oz 7-Spice Syrup*, .75 oz Lemon Juice, 1.5 oz Fever-Tree Tonic","Garnished with orange peel and star anise. Served over the rocks in a stemless wine glass.

*7-Spice Syrup:
-- Pink Peppercorn
-- Star Anise
-- Sumac
-- Cinnamon
-- Nutmeg
-- Coriander
-- Cardamom",
Hotaling Seaside Shandy,N/A,,"1 oz Genevieve Gin, 1 bottle Lager","Genevieve is Hotaling's interpretation of genever, an ancient and mysterious gin style. The most common way to consume genever has always been straight. If you are planning to set sail for the day, picnic or do something else to enjoy the great outdoors, we recommend throwing a bottle of Genevieve in the freezer the evening before your outing and moving it to the cooler day of. We sip it straight while enjoying a lager. Glassware is dealer's choice, but cordial glasses are elegant and fun.",
Hotaling White Manhattan,N/A,,"2 oz Christmas Spirit, 1 oz Tempus Fugit Alessio Vermouth Bianco, .25 oz Luxardo Triplum (Triple Sec), 1 dash Fee Brother's Orange Bitters",Combine ingredients in a mixing glass and stir with ice. Strain and serve up with an orange twist.,
Huntsman,Rocks Glass,,"2 oz Pink Pigeon Rum, 1 cube Brown Sugar",Soak brown sugar cube in Angostura and Orange bitters. Muddle soaked sugar cube into a paste in a rocks glass. Pour 2 oz. Pink Pigeon. Add ice and stir. Garnish with an orange peel and Luxardo Cherry.,
I'm Only Happy when it Rains,N/A,,"1 1/2 oz Old Potrero Straight Rye Whiskey, 3/4 oz Hirsh Pinot Noir Reduction, 1/4 oz Luxardo Sangue Morlacco Cherry Liqueur, 3/4 oz Lemon Juice","Shake, double strain into a Burgundy Glass.",
II Piacere,N/A,,"1.5 oz English Harbour Rum, .5 oz Luxardo Angioletto (Hazelnut Liqueur), .5 oz Luxardo Sangue Morlacco Cherry Liqueur, .5 oz Fresh lemon juice, .25 oz Luxardo Maraschino Cherry/Cherries, 1  Egg white, 4 dash Bittermens Boston Bittahs",,
Im(pear)ed Fashioned,N/A,,"2 oz BarSol Pisco, .5 oz Pear Brandy, .5 oz House-made Organic Pear Syrup, .5 oz Fresh Lemon",,
Imperial Cocktail,Cocktail glass,,"4 cl Lime juice,2 cl Gin,4 cl Aperol",Shake with ice and strain into cocktail glass.,
Improved Calvados Cocktail,Double Rocks Glass,,"2 oz C. Drouin Calvados Selection, 1 bsp Benedictine, 1 bsp Green Chartreuse, 1 bsp Small Hand Foods Gum Syrup, 2 dash Angostura Bitters","Stir to 35 °F, strain into a double rocks glass over an angled ice wedge. Garnish with orange peel.",Featured on Speed Rack 2015 SF Speed City Takeover Baseball Card.
Improved Whisky Cocktail,Coupe,,"2 oz Nikka Whisky Taketsuru Pure Malt 12 YO, 1 dash Luxardo Maraschino Liqueur, 1 dash Pontarlier Anis",Stir and strain into a chilled coupe.,*Old Fashioned riff
In HINEsight,Old Fashioned Glass,,"1.5 oz H by HINE, 1 oz Luxardo Bitter, .5 oz Quady Muscat Wine",Stir and strain into an old fashioned glass. Large ice cube.,Aged for 3 months in a used Rye Barrel that previously held a cocktail with Tequila and All Spice. Can also be made to order without barrel aging it.
International Mistress,Collins,,"1.5 oz Amaro Nonino Quintessentia, .75 oz Lemon Juice, .5 oz Mezcal, .5 oz Small Hand Foods Orgeat, 2 oz Soda Water","Stir, fine strain into a collins glass over ice. Top with soda. Garnish with grapefruit peel.",Featured on Speed Rack 2015 SF Speed City Takeover Baseball Card.
IPA Mule,Tin Cup,,"1.5 oz Hophead Vodka, .5 oz Ginger Liqueur, .75 oz Lime Juice, .5 oz Pure Cane Simple Syrup, 2 count Deschutes Fresh Squeezed IPA (from tap)","Add all ingredients except beer into shaker tin, shake vigorously for 10 seconds. Add beer in shaker tin then double strain into tin cup. Add mint for garish.",
Irish Curdling Cow,Highball glass,,"3/4 oz Bailey's irish cream,3/4 oz Bourbon,3/4 oz Vodka,2-3 oz Orange juice","Pour Irish Cream, Vodka, and Bourbon in a glass. Add some ice and mix in the orange juice.",
Irish Goodbye,Irish Coffee glass,,"1.5 oz Nikka Coffey Grain Whisky, .25 oz Absinthe, 4 oz Hot coffee, 2-3 oz Homemade Irish Cream","Combine the coffee and whiskey in a preheated cup. Top with Irish cream and pour the absinthe over the back of a spoon to float. Garnish.
",*this drink was served at Portland Cocktail Week 2013
Iron Fist in a Velvet Glove,Nick & Nora,,"1.25 oz Lillet Rose, .75 oz BarSol Primero Quebranta Pisco, .75 oz Prata Cachaca, .25 oz Velvet Falernum",Stir with ice and strain into a Nick & Nora glass. Garnish with a grapefruit twist.,
Iron Tonic,Coupe,,".75 oz Luxardo Maraschino Liqueur, .75 oz Genepy, .75 oz Luxardo Fernet, .75 oz Lime Juice, 1 float Tonic Water","Shake, strain into a chilled coupe, float tonic water.",Featured on Speed Rack 2015 SF Speed City Takeover Baseball Card.
Italian Margarita,N/A,,"1.5 oz Maestro Dobel Diamante Tequila, .5 oz Luxardo Amaretto di Saschira, 1 oz Fresh Lime Juice, .25 oz Monin Cane Syrup",Shaken and served over ice.,
Italian Riviera Mojito,Collins,,"1 oz Coconut Rum, .5 oz Funkin Passion Fruit Puree, .5 oz Briottet Creme de Banane, .5 oz Fresh squeezed lime, 8 leaves Mint Leaves","Shake & Dump into Collins Glass, Top with Prosecco, cap with crushed ice. Garnish with Mint Sprig. 
",
Jack Cherry Sour (2001 Remix),Old Fashioned Glass,,"1.5 oz Jack Daniel's, .5 oz Luxardo Sangue Morlacco Cherry Liqueur, 1 oz Fresh Lemon Juice, .25 oz Cane Sugar Syrup*, 1 dash Angostura Orange Bitters","Combine all ingredients, add ice, and shake. Double strain into an old fashioned glass and add fresh ice. Garnish with an orange slice (1/4 wheel) and Luxardo Cherry (both speared).

*0.25 - 0.50 oz Cane Sugar Syrup (to taste to allow variations in citrus flavor when batching)",
Jalapeño Sour,Double Rocks Glass,,"2 oz Chinaco Blanco Tequila, .5 oz Green Chartreuse, .5 oz Lime juice, 1 oz Pineapple juice, .5 oz Jalapeño Syrup, .5 oz Egg White","dryshake/shake/dblrocks

garnish jalapeño slice",
Jamaica Paloma,N/A,,"2 oz Mezcal, 1 oz Jamaica basil flower syrup*, .75 oz Fresh grapefruit juice, .5 oz Fresh lime juice","Flash shake, strain onto fresh ice, top with Mexican Squirt. Salted starfruit garnish.","*1:1 sugar (raw) to water, macerating a handful of basil flowers and two handfuls of dried jamaica flowers to each 2L of water."
Jammie Dodger Fizz,Collins,,"2 oz H by HINE, .5 oz Tempus Fugit Creme de Noyaux, .5 oz Orgeat, .375 oz Lemon, .375 oz Lime, 1 oz Heavy Whipping Cream, 1  Egg White","Combine all ingredients and shake thoroughly without ice for several minutes. Add ice, shake, and strain into a tall collins glass. Top with soda and garnish with an orange wheel.",
Japanese Cocktail,Cocktail Glass,,"2 oz H by HINE, .5 oz Luxardo Orgeat Syrup, 3 dash Angostura Bitters","Fill a mixing glass half full with ice. Add cognac, orgeat, and bitters. Stir well. Strain into chilled cocktail glass. Twist lemon peel over the drink and drop in as a garnish.",Photo credit: seriouseats.com
Japonais No.3,Highball Glass,,"1.5 oz No.3 London Dry Gin, 1 oz King's Ginger Liqueur, 1 oz Orange juice, 1 dash Simple syrup, 2  Cucumber slices, muddled, 2  Raspberries, muddled","Muddle two cucumber slices, two raspberries and simple syrup in a highball, add ice. Shake gin, ginger liqueur and orange juice with ice. Strain into highball glass.  Garnish with a candied ginger stick.",
Jitterbug,Cocktail Glass,,"2 jiggers Gin,1 jigger Vodka,3 dashes Grenadine,1 shot Lime juice,Around rim put 1 pinch Sugar,3 dashes Sugar syrup,Fill to top with  Soda water","Wet glass, dip rim in sugar. Then add Ice. Then add everything else. It's that simple!",
Ju-Ju Hurricane,N/A,,"1 oz Luxardo Amaretto di Saschira, .25 oz Briottet Creme de Cassis, 2 oz Pink Pigeon Rum, 1 oz No.3 London Dry Gin, 1 oz Gossling's 151 Rum, 2 oz Grapefruit Juice, 2 oz Pineapple Juice",,*Add umbrella toothpick for a fun look.
Julia's Child,Cocktail Glass,,"1 oz Broker's Gin, 1 oz Karlsson's Gold Vodka, 2 oz Celery Root Puree, .5 oz Fresh Lemon Juice, .75 oz Simple Syrup, 3 dash Apple Bitters, 1 dash Angostura Bitters","Add all ingredients to a shaker and shake with ice, then double strain into a cocktail glass. Garnish with a celery leaf.",
Junipero Gin and Tonic,Rocks Glass,,"2 oz Junipero Gin, 4 oz Fever-Tree Tonic Water, 3 cubes Tonic Water Ice Cubes*","Place ice cubes in a rocks glass. Add ingredients. Garnish with your choice of: rosemary, basil, lavender, edible flowers, or a lemon, lime or orange twist.

*Tonic Water Ice Cubes:
Fill an ice cube tray with tonic water and freeze.",
Junipero Jolly,Collins,,"1 oz Junipero Gin, .5 oz Lemorton Pommeau de Normandie, .75 oz House-made Green Apple Purée*, .75 oz Lemon Juice, .5 oz Honey Syrup","Shake all ingredients. Serve over crushed ice in a collins glass. Garnish with a sage leaf.

*Substitute with Perfect Puree Green Apple flavor",Junipero Gin 20th Anniversary Signature Cocktail
Juniperotivo,Cocktail Glass,,"1.5 oz Junipero Gin, .5 oz Simple Syrup, .5 oz Lime Juice, .25 oz Pomegranate Syrup, 4 large Mint Leaves","In mixing glass, using a spoon, crush 2 mint leaves in the simple syrup, and add gin, lime juice and pomegranate syrup. Pour into ice-filled shaker. Shake well and strain into chilled cocktail glass. Float remaining 2 mint leaves for garnish.",Photo credit: Lizzie Munro
Just Beet It,Coupe,,"1.5 oz Junipero Gin, 1 oz Beet Thyme Reduction*, .5 oz Licor 43, .5 oz Lemon Juice, .5  Egg White","Shaken without ice, then with ice and strained into a large coupe. Garnished with candied thyme.

*Beet Thyme Reduction
-- 520 grams raw beets 
-- 344 grams honey
-- 2 oranges peeled (just the peels)
-- 2 sprigs of thyme
-- pinch of salt

Juice beets, add honey and let dissolve and cook for 15 mins. 
Add thyme and simmer for 5 more mins. 
Strain through a chinois into a container and then place in the fridge.
This makes 1 quart, so multiply as needed.
Use within 1 week.",
Kanazawa,Cocktail Glass,,"2 oz Nikka Coffey Grain Whisky, .75 oz Dry Vermouth, .25 oz Luxardo Amaro Abano, 1 bsp Luxardo Maraschino Liqueur, 1 dash Angostura Bitters","Stir all ingredients until well chilled, and strain into a chilled cocktail glass.
Garnish with an orange peel with oils squeeze over cocktail.",
Karlsson's Kold Brew,Espresso Cup,,"1 oz Karlsson's Gold Vodka (Coffee-Infused), .75 oz Café Moka, .75 oz Cardamom syrup*, 2 Tbsp Soy milk coffee foam**, 1 pinch Espresso powder",In a Boston shaker combine all liquid ingredients (not the foam) with cracked ice and shake vigorously for 20 seconds. Double strain the cocktail into an espresso cup. Using an aero-latte frothing whip froth the coffee infused soy milk and spoon the froth over the cocktail. Sprinkle with a little espresso powder.,"Coffee-Infused Karlsson's Gold Vodka (yield- 750 ml.):

Ingredients & Equipment
- 1 750 ml. Bottle Karlsson's Gold vodka
- .75 c. Coffee beans
- French press
- Coffee grinder

Instructions
Grind the coffee beans and add them to the French press. Pour in the vodka and press. Let steep at room temperature for 12-24 hours. Strain out the coffee grounds and store in a sealed container in the refrigerator.

---

*Cardamom Syrup (yield- 1 pt.):

Ingredients
- .5 c. Whole green cardamom pods
- 1 lb. Granulated sugar
- 2 c. Water

Instructions
In a 1 qt. saucepot bring the water and sugar to a boil. Once boiling add the cardamom pods and remove from the heat. Let steep 30 minutes and strain the cardamom pods out using a fine mesh sieve. Store in a covered container in the refrigerator. It should keep for a while in the fridge.

---

**Coffee Soy Milk (yield- 1 c.):

Ingredients
- 8 oz. Soy mik
- 1 oz. Simple syrup
- 2 Tbsp. Espresso powder

Instructions
Blend the two ingredients until the espresso powder is completely dissolved."
